GameDate,HomeTeamName,HomeTeamScore,AwayTeamName,AwayTeamScore
11/17/2010,Loyola (MD),83,UMBC,72
11/17/2010,Manhattan,59,Penn,54
11/17/2010,Marquette,89,Green Bay,69
11/17/2010,UMass,73,Sacred Heart,65
11/17/2010,Memphis,94,Northwestern State,79
11/17/2010,Middle Tennessee,71,Alabama-Birmingham,76
11/17/2010,Ole Miss,77,Murray State,61
11/17/2010,UNLV,92,Southeastern Louisiana,56
11/17/2010,Niagara,73,Milwaukee,90
11/17/2010,Notre Dame,102,Chicago State,62
11/17/2010,Oklahoma State,68,Texas A&M-Corpus Christi,58
11/17/2010,Purdue,103,Alcorn State,48
11/17/2010,San Jose State,74,San Francisco,64
11/17/2010,Seattle,83,Oregon State,80
11/17/2010,South Dakota,72,South Dakota School of Mines,61
11/17/2010,Southern,74,Auburn Montgomery,72
11/17/2010,USC,57,Rider,77
11/17/2010,Southern Miss,93,South Alabama,58
11/17/2010,St. John's (NY),79,Columbia,66
11/17/2010,Tennessee,60,Missouri State,56
11/17/2010,Texas-Rio Grande Valley,71,Northwestern,77
11/17/2010,Utah,80,Montana,71
11/17/2010,Villanova,82,Boston University,66
11/17/2010,Wright State,75,Northwood (MI),55
11/18/2010,Arizona,83,New Mexico State,57
11/18/2010,Arkansas,75,Grambling,52
11/18/2010,Baylor,63,Jackson State,49
11/18/2010,Boston College,67,Yale,75
11/18/2010,Cal Poly,47,Cal State Monterey Bay,50
11/18/2010,UCF,65,South Florida,59
11/18/2010,Charleston Southern,103,Montreat,85
11/18/2010,Charlotte,56,George Mason,78
11/18/2010,Denver,66,Colorado State,77
11/18/2010,Eastern Washington,96,Northwest Washington,87
11/18/2010,Fairleigh Dickinson,59,Stony Brook,66
11/18/2010,Florida,105,North Carolina A&T,55
11/18/2010,Florida A&M,64,Savannah State,53
11/18/2010,Florida International,66,Florida State,89
11/18/2010,Gardner-Webb,78,Virginia Intermont,42
11/18/2010,Georgetown,80,Coastal Carolina,61
11/18/2010,Georgia Southern,101,Reinhardt,84
11/18/2010,Iona,81,Richmond,77
11/18/2010,Kansas State,76,Presbyterian,67
11/18/2010,La Salle,88,Prairie View,74
11/18/2010,Liberty,82,Southern Virginia,49
11/18/2010,Lipscomb,104,Austin Peay,101
11/18/2010,Longwood,104,Virginia Wise,70
11/18/2010,LSU,79,UT-Martin,56
11/18/2010,Loyola (IL),73,Eastern Illinois,62
11/18/2010,Maryland,70,Pitt,79
11/18/2010,Michigan,69,Bowling Green State,50
11/18/2010,Minnesota,95,Western Kentucky,77
11/18/2010,Missouri,66,Western Illinois,61
11/18/2010,NJIT,60,Army,63
11/18/2010,UNC,107,Hofstra,63
11/18/2010,NC State,85,East Carolina,65
11/18/2010,UNC Wilmington,60,Morehead State,58
11/18/2010,Oklahoma,82,Texas Southern,52
11/18/2010,Providence,77,Morgan State,55
11/18/2010,Saint Mary's,101,Point Loma Nazarene,69
11/18/2010,Santa Clara,66,Rice,65
11/18/2010,South Dakota State,94,Southwest Minnesota State,80
11/18/2010,Stanford,81,Virginia,60
11/18/2010,Texas,90,Illinois,84
11/18/2010,Valparaiso,98,Purdue North Central,44
11/18/2010,Vanderbilt,59,Nebraska,49
11/18/2010,VMI,65,Jacksonville State,55
11/18/2010,West Virginia,84,Davidson,70
11/18/2010,Wofford,79,USC Upstate,61
11/18/2010,Wyoming,60,North Florida,76
