"","Date","TeamName","Role","Opponent","PTS","FGM","FGA","FG%","3PTM","3PTA","3PT%","FTM","FTA","FT%","ORB","DRB","REB","AST","TO","STL","BLK","PF"
"62","November 10, 2017","Washington","Home","Belmont","86","28","52",".538","4","11",".364","26","36",".722","5","25","30","8","15","12","3","18"
"63","November 10, 2017","Bob Jones University","Away","Furman","48","18","54",".333","7","20",".350","5","10",".500","3","17","20","7","20","4","0","19"
"64","November 10, 2017","Furman","Home","Bob Jones University","101","35","67",".522","16","37",".432","15","18",".833","12","36","48","16","12","11","1","15"
"65","November 10, 2017","Bowling Green State","Away","Drexel","78","26","54",".481","9","22",".409","17","27",".630","5","21","26","14","17","9","2","21"
"66","November 10, 2017","Drexel","Home","Bowling Green State","69","23","56",".411","4","20",".200","19","26",".731","10","22","32","7","19","5","4","24"
"67","November 10, 2017","Brescia","Away","Murray State","61","22","69",".319","6","25",".240","11","14",".786","10","14","24","11","15","4","1","26"
"68","November 10, 2017","Murray State","Home","Brescia","118","40","58",".690","13","23",".565","25","35",".714","10","34","44","26","14","9","6","18"
"69","November 10, 2017","Bridgewater (VA)","Away","James Madison","50","18","61",".295","5","25",".200","9","13",".692","12","15","27","5","16","13","3","24"
"70","November 10, 2017","James Madison","Home","Bridgewater (VA)","80","28","63",".444","6","24",".250","18","29",".621","19","30","49","8","20","13","3","15"
"71","November 10, 2017","Bryant","Away","Georgia","54","17","66",".258","8","31",".258","12","20",".600","12","21","33","7","14","5","2","26"
"72","November 10, 2017","Georgia","Home","Bryant","79","26","60",".433","8","20",".400","19","32",".594","19","39","58","14","17","8","10","19"
"73","November 10, 2017","Bucknell","Away","Monmouth","78","29","66",".439","13","33",".394","7","17",".412","7","21","28","17","8","3","2","24"
"74","November 10, 2017","Monmouth","Home","Bucknell","79","25","51",".490","5","12",".417","24","30",".800","4","32","36","5","13","4","4","22"
"75","November 10, 2017","Cairn","Away","Delaware State","50","21","61",".344","4","20",".200","4","10",".400","8","18","26","7","20","6","1","15"
"76","November 10, 2017","Delaware State","Home","Cairn","71","27","64",".422","2","14",".143","15","21",".714","19","29","48","14","21","11","4","14"
"77","November 10, 2017","Cal Poly","Away","Stanford","62","23","60",".383","10","25",".400","6","9",".667","2","18","20","11","10","8","4","24"
"78","November 10, 2017","Stanford","Home","Cal Poly","78","26","53",".491","9","19",".474","17","23",".739","9","27","36","13","16","6","4","10"
"79","November 10, 2017","UC-Irvine","Away","South Dakota State","54","22","58",".379","5","19",".263","5","12",".417","14","33","47","8","18","4","2","24"
"80","November 10, 2017","South Dakota State","Home","UC-Irvine","65","17","57",".298","14","35",".400","17","23",".739","10","25","35","14","8","4","5","16"
"81","November 10, 2017","UC-Riverside","Away","California","74","28","70",".400","6","19",".316","12","24",".500","14","35","49","17","13","5","2","29"
"82","November 10, 2017","California","Home","UC-Riverside","66","19","62",".306","4","16",".250","24","39",".615","13","31","44","7","11","5","9","21"
"83","November 10, 2017","UC-Santa Cruz","Away","Fresno State","65","23","43",".535","7","17",".412","12","23",".522","7","20","27","15","22","3","2","22"
"84","November 10, 2017","Fresno State","Home","UC-Santa Cruz","96","36","68",".529","12","24",".500","12","21",".571","16","19","35","23","8","12","2","22"
"85","November 10, 2017","Campbell","Away","Penn State","75","25","62",".403","6","23",".261","19","23",".826","10","26","36","8","18","5","8","26"
"86","November 10, 2017","Penn State","Home","Campbell","86","24","65",".369","5","19",".263","33","41",".805","13","26","39","11","14","8","4","24"
